id,Cellline,Smadtype,Targetedgenes
180,A2780,Smad 4,SFXN1
181,A2780,Smad 4,DLGAP1
182,A2780,Smad 4,PROX1
183,A2780,Smad 4,THSD4
184,A2780,Smad 4,SRPX2
185,A2780,Smad 4,MSRB3
186,A2780,Smad 4,PPYR1
187,A2780,Smad 4,SLC5A7
188,A2780,Smad 4,ZNRF3
189,A2780,Smad 4,RASGEF1B
190,A2780,Smad 4,DMRT2
191,A2780,Smad 4,PTGFR
192,A2780,Smad 4,SLC25A4
193,A2780,Smad 4,COL12A1
194,A2780,Smad 4,DTX3
195,A2780,Smad 4,PARK2
196,A2780,Smad 4,CA10
197,A2780,Smad 4,KCND2
198,A2780,Smad 4,TOM1L2
199,A2780,Smad 4,IL1RAPL1
200,A2780,Smad 4,CIP29
201,A2780,Smad 4,C10orf11
202,A2780,Smad 4,KIF9
203,A2780,Smad 4,ODF1
204,A2780,Smad 4,GLI3
205,A2780,Smad 4,SALL1
206,A2780,Smad 4,SCFD1
207,A2780,Smad 4,BCAR3
208,A2780,Smad 4,LONPL
209,A2780,Smad 4,ASTN2
210,A2780,Smad 4,PLXNA2
211,A2780,Smad 4,GALNTL2
212,A2780,Smad 4,KIAA1026
213,A2780,Smad 4,ANGPTL1
214,A2780,Smad 4,BAALC
215,A2780,Smad 4,MAGI2
216,A2780,Smad 4,PLEKHA6
217,A2780,Smad 4,GULP1
218,A2780,Smad 4,SGPP2
219,A2780,Smad 4,ST6GALNAC5
220,A2780,Smad 4,CNTN4
221,A2780,Smad 4,UST
222,A2780,Smad 4,CCDC64
223,A2780,Smad 4,CXorf36
224,A2780,Smad 4,ANKS1B
225,A2780,Smad 4,MSRA
226,A2780,Smad 4,NRP1
227,A2780,Smad 4,SOX6
228,A2780,Smad 4,AVPR1A
229,A2780,Smad 4,MGAT5
230,A2780,Smad 4,BAGE
231,A2780,Smad 4,GYPC
232,A2780,Smad 4,GPR156
233,A2780,Smad 4,PTPN1
234,A2780,Smad 4,EMILIN3
235,A2780,Smad 4,CADPS
236,A2780,Smad 4,TP73L
237,A2780,Smad 4,SLC40A1
238,A2780,Smad 4,C7orf16
239,A2780,Smad 4,FSIP1
240,A2780,Smad 4,WDR21C
241,A2780,Smad 4,DNAJA4
242,A2780,Smad 4,SAPS3
243,A2780,Smad 4,ABI3BP
244,A2780,Smad 4,FAM91A1
245,A2780,Smad 4,BDNF
246,A2780,Smad 4,PIK3C2A
247,A2780,Smad 4,FLJ10803
248,A2780,Smad 4,KIAA1217
249,A2780,Smad 4,CASZ1
250,A2780,Smad 4,IL12RB2
251,A2780,Smad 4,SPTLC2
252,A2780,Smad 4,RERE
253,A2780,Smad 4,TNFSF11
254,A2780,Smad 4,SGEF
255,A2780,Smad 4,KREMEN1
256,A2780,Smad 4,ZNF638
257,A2780,Smad 4,SLC22A6
258,A2780,Smad 4,ARHGAP26
259,A2780,Smad 4,C2orf10
260,A2780,Smad 4,GPR161
261,A2780,Smad 4,COVA1
262,A2780,Smad 4,TRPC4
263,A2780,Smad 4,FGF1
264,A2780,Smad 4,CREB5
265,A2780,Smad 4,ADAM28
266,A2780,Smad 4,NKX2-3
267,A2780,Smad 4,STARD13
268,A2780,Smad 4,PPP2R2B
269,A2780,Smad 4,TIMP3
270,A2780,Smad 4,EPAS1
271,A2780,Smad 4,SYNE1
272,A2780,Smad 4,TBX5
273,A2780,Smad 4,ANK3
274,A2780,Smad 4,LMOD3
275,A2780,Smad 4,EBF3
276,A2780,Smad 4,CLDN1
277,A2780,Smad 4,TLN2
278,A2780,Smad 4,GAB2
279,A2780,Smad 4,SCN9A
280,A2780,Smad 4,TRHDE
281,A2780,Smad 4,LDLRAD3
282,A2780,Smad 4,UGT2B4
283,A2780,Smad 4,CDC14A
284,A2780,Smad 4,KCNK3
285,A2780,Smad 4,SETBP1
286,A2780,Smad 4,C1orf21
287,A2780,Smad 4,PAPPA2
288,A2780,Smad 4,COG2
289,A2780,Smad 4,PTGER3
290,A2780,Smad 4,KCNH7
291,A2780,Smad 4,PTP4A1
292,A2780,Smad 4,FGF7
293,A2780,Smad 4,FIGN
294,A2780,Smad 4,ESRRG
295,A2780,Smad 4,METT5D1
296,A2780,Smad 4,ARHGAP21
297,A2780,Smad 4,NDUFA5
298,A2780,Smad 4,SH3PXD2A
299,A2780,Smad 4,PDE4DIP
300,A2780,Smad 4,LRRC4
301,A2780,Smad 4,NRXN3
302,A2780,Smad 4,SLC8A1
303,A2780,Smad 4,PVRL1
304,A2780,Smad 4,SSBP1
305,A2780,Smad 4,IL15
306,A2780,Smad 4,GPR87
307,A2780,Smad 4,NRXN1
308,A2780,Smad 4,WNT10A
309,A2780,Smad 4,FOXP2
310,A2780,Smad 4,CMTM8
311,A2780,Smad 4,GAP43
312,A2780,Smad 4,CSTF2
313,A2780,Smad 4,DPP6
314,A2780,Smad 4,MYOCD
315,A2780,Smad 4,ALS2CR19
316,A2780,Smad 4,DIAPH2
317,A2780,Smad 4,SPTBN1
318,A2780,Smad 4,PIP5K1B
319,A2780,Smad 4,KCNIP4
320,A2780,Smad 4,CDH12
321,A2780,Smad 4,LSAMP
322,A2780,Smad 4,GPR143
323,A2780,Smad 4,ATP1A4
324,A2780,Smad 4,ZNF521
325,A2780,Smad 4,C22orf26
326,A2780,Smad 4,RP11-145H9.1
327,A2780,Smad 4,SPAG17
328,A2780,Smad 4,FLJ21511
329,A2780,Smad 4,PTPRD
330,A2780,Smad 4,FBXL7
331,A2780,Smad 4,NAP5
332,A2780,Smad 4,LIPC
333,A2780,Smad 4,CPA6
334,A2780,Smad 4,CNTNAP5
335,A2780,Smad 4,FAM125B
336,A2780,Smad 4,RASSF3
337,A2780,Smad 4,RASEF
338,A2780,Smad 4,RFX4
339,A2780,Smad 4,KIRREL
340,A2780,Smad 4,RAB6IP2
341,A2780,Smad 4,TRERF1
342,A2780,Smad 4,C1orf56
343,A2780,Smad 4,FBXW12
