id,Cellline,Smadtype,Targetedgenes
101,Immortalized Ovarian Surface Epithelial,Smad 4,KITLG
102,Immortalized Ovarian Surface Epithelial,Smad 4,LIPT1
103,Immortalized Ovarian Surface Epithelial,Smad 4,IFRG28
104,Immortalized Ovarian Surface Epithelial,Smad 4,CAMK2D
105,Immortalized Ovarian Surface Epithelial,Smad 4,TM4SF1
106,Immortalized Ovarian Surface Epithelial,Smad 4,RGS4
107,Immortalized Ovarian Surface Epithelial,Smad 4,EPB41L4B
108,Immortalized Ovarian Surface Epithelial,Smad 4,ADPN
109,Immortalized Ovarian Surface Epithelial,Smad 4,ADORA2B
110,Immortalized Ovarian Surface Epithelial,Smad 4,APOL6
111,Immortalized Ovarian Surface Epithelial,Smad 4,DZIP3
112,Immortalized Ovarian Surface Epithelial,Smad 4,APOL3
113,Immortalized Ovarian Surface Epithelial,Smad 4,EMP1
114,Immortalized Ovarian Surface Epithelial,Smad 4,KIAA1946
115,Immortalized Ovarian Surface Epithelial,Smad 4,FLJ23235
116,Immortalized Ovarian Surface Epithelial,Smad 4,CASP8
117,Immortalized Ovarian Surface Epithelial,Smad 4,SYNGR1
118,Immortalized Ovarian Surface Epithelial,Smad 4,EBF
119,Immortalized Ovarian Surface Epithelial,Smad 4,TNFSF13B
120,Immortalized Ovarian Surface Epithelial,Smad 4,EPSTI1
121,Immortalized Ovarian Surface Epithelial,Smad 4,OAS1
122,Immortalized Ovarian Surface Epithelial,Smad 4,FLJ14054
123,Immortalized Ovarian Surface Epithelial,Smad 4,SYTL2
124,Immortalized Ovarian Surface Epithelial,Smad 4,ABCA8
125,Immortalized Ovarian Surface Epithelial,Smad 4,C6orf192
126,Immortalized Ovarian Surface Epithelial,Smad 4,KLF12
127,Immortalized Ovarian Surface Epithelial,Smad 4,KLF9
128,Immortalized Ovarian Surface Epithelial,Smad 4,SEMA4B
129,Immortalized Ovarian Surface Epithelial,Smad 4,Sep-09
130,Immortalized Ovarian Surface Epithelial,Smad 4,FBXL14
131,Immortalized Ovarian Surface Epithelial,Smad 4,PREX1
132,Immortalized Ovarian Surface Epithelial,Smad 4,PRR7
133,Immortalized Ovarian Surface Epithelial,Smad 4,BDNF
134,Immortalized Ovarian Surface Epithelial,Smad 4,SNTB2
135,Immortalized Ovarian Surface Epithelial,Smad 4,SASH1
136,Immortalized Ovarian Surface Epithelial,Smad 4,TGFBR2
137,Immortalized Ovarian Surface Epithelial,Smad 4,SMAD3
138,Immortalized Ovarian Surface Epithelial,Smad 4,THRAP5
139,Immortalized Ovarian Surface Epithelial,Smad 4,SP110
140,Immortalized Ovarian Surface Epithelial,Smad 4,MTUS1
141,Immortalized Ovarian Surface Epithelial,Smad 4,DNAJC6
142,Immortalized Ovarian Surface Epithelial,Smad 4,IBRDC2
143,Immortalized Ovarian Surface Epithelial,Smad 4,FOXG1B
144,Immortalized Ovarian Surface Epithelial,Smad 4,RGS17
145,Immortalized Ovarian Surface Epithelial,Smad 4,FLJ11000
146,Immortalized Ovarian Surface Epithelial,Smad 4,LRRC20
147,Immortalized Ovarian Surface Epithelial,Smad 4,GLIS1
148,Immortalized Ovarian Surface Epithelial,Smad 4,NAV3
149,Immortalized Ovarian Surface Epithelial,Smad 4,HDAC9
150,Immortalized Ovarian Surface Epithelial,Smad 4,IL1B
